"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
2.09293548040836e-146,5.5584123333224,0.175,0.004,7.01928701419355e-142,"ITGA8","FDR<0.01 & |log2FC|>1",145.67924415959,145.67924415959
3.16861159396651e-146,4.83956364134396,0.821,0.232,1.06268895638449e-141,"COL6A1","FDR<0.01 & |log2FC|>1",145.499130993039,145.499130993039
5.66008503852487e-146,7.4609845157934,0.843,0.268,1.89827932022047e-141,"COL1A1","FDR<0.01 & |log2FC|>1",145.247177043814,145.247177043814
8.79857591897331e-146,5.41561930053288,0.459,0.052,2.95086639170527e-141,"ARHGAP42","FDR<0.01 & |log2FC|>1",145.055587614279,145.055587614279
8.90926895341346e-145,6.71959621143748,0.24,0.011,2.9879906215958e-140,"C9orf47","FDR<0.01 & |log2FC|>1",144.050157930365,144.050157930365
8.83989863054318e-144,5.94692141922247,0.376,0.033,2.96472520271157e-139,"CCDC3","FDR<0.01 & |log2FC|>1",143.053552715128,143.053552715128
2.64780107289884e-140,6.83547991972888,0.197,0.007,8.88019523828812e-136,"HRC","FDR<0.01 & |log2FC|>1",139.577114646191,139.577114646191
2.94477372814705e-140,4.83452148375174,0.218,0.009,9.87618212945959e-136,"CFI","FDR<0.01 & |log2FC|>1",139.53094807011,139.53094807011
1.46682370358538e-139,7.63129111369338,0.135,0.002,4.91943333708466e-135,"RGS4","FDR<0.01 & |log2FC|>1",138.83362208054,138.83362208054
1.85635116498309e-138,4.62683610390699,0.59,0.098,6.22583053712028e-134,"MRC2","FDR<0.01 & |log2FC|>1",137.731339865085,137.731339865085
1.02784899965909e-136,5.64144462870908,0.218,0.009,3.44719997505667e-132,"GPR176","FDR<0.01 & |log2FC|>1",135.988070682453,135.988070682453
1.75074934196029e-136,5.83709376508668,0.611,0.113,5.87166314306641e-132,"C1R","FDR<0.01 & |log2FC|>1",135.756776028215,135.756776028215
2.63674280694721e-135,2.99625494303738,0.847,0.214,8.84310802593954e-131,"MGP","FDR<0.01 & |log2FC|>1",134.578932230074,134.578932230074
6.55317908800685e-135,3.94516037057837,0.515,0.07,2.19780520253574e-130,"TNS1","FDR<0.01 & |log2FC|>1",134.183547963301,134.183547963301
2.14620987312502e-134,5.67984925655199,0.197,0.007,7.19795867248668e-130,"POSTN","FDR<0.01 & |log2FC|>1",133.668327811595,133.668327811595
2.50551159918495e-134,4.17424043487666,0.236,0.011,8.40298480134648e-130,"RUNX1T1","FDR<0.01 & |log2FC|>1",133.601103582365,133.601103582365
1.86213365507521e-132,4.21810944086511,0.607,0.108,6.24522385239124e-128,"MCAM","FDR<0.01 & |log2FC|>1",131.729989150649,131.729989150649
2.14041352592712e-132,6.82304735311844,0.144,0.003,7.17851888325438e-128,"AC090409.1","FDR<0.01 & |log2FC|>1",131.66950231325,131.66950231325
1.99648290202975e-130,4.99528181550409,0.572,0.099,6.69580435682737e-126,"PGF","FDR<0.01 & |log2FC|>1",129.699734404771,129.699734404771
3.83886036659354e-130,4.65962929380286,0.153,0.003,1.28747698974814e-125,"CCL26","FDR<0.01 & |log2FC|>1",129.415797684476,129.415797684476
5.21895433469797e-130,3.02979883782955,0.45,0.051,1.75033290477101e-125,"CCND2","FDR<0.01 & |log2FC|>1",129.282416503159,129.282416503159
2.77534277968838e-129,6.08251136412114,0.179,0.006,9.30794461451887e-125,"BICC1","FDR<0.01 & |log2FC|>1",128.556683369971,128.556683369971
3.91596193082003e-129,9.66007616505143,0.1,0,1.31333531235842e-124,"OGN","FDR<0.01 & |log2FC|>1",128.407161538859,128.407161538859
8.25342389348125e-129,4.43366690095499,0.642,0.129,2.76803330539574e-124,"FBLN1","FDR<0.01 & |log2FC|>1",128.083365849078,128.083365849078
1.4226789501235e-128,3.81535692758472,0.236,0.012,4.7713806629242e-124,"SH2D3C","FDR<0.01 & |log2FC|>1",127.846893094238,127.846893094238
3.07775823705577e-128,4.93636133393936,0.38,0.038,1.03221855754377e-123,"SSTR2","FDR<0.01 & |log2FC|>1",127.511765497707,127.511765497707
5.35429788768723e-128,6.62441684012423,0.127,0.002,1.79572442557254e-123,"P2RY14","FDR<0.01 & |log2FC|>1",127.271297470396,127.271297470396
7.75862773901016e-128,4.81958198703435,0.188,0.007,2.60208857110923e-123,"DACT1","FDR<0.01 & |log2FC|>1",127.110215085195,127.110215085195
