"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
2.71865972801243e-81,3.21225466942444,0.675,0.122,9.11784099580809e-77,"IGFBP4","Upregulated"
4.59737352052756e-81,6.27407393667631,0.183,0.007,1.54186713131453e-76,"CHST1","Upregulated"
7.87397212471553e-81,7.36026704642557,0.133,0.003,2.6407727711871e-76,"SULT1B1","Upregulated"
8.77374397958984e-79,6.40916386056111,0.117,0.002,2.94253825587484e-74,"ELFN1","Upregulated"
8.91030662931816e-78,4.50075468132668,0.433,0.05,2.98833863734072e-73,"TNFRSF10D","Upregulated"
1.98743365244249e-77,3.84746261604073,0.233,0.013,6.66545498356163e-73,"NT5E","Upregulated"
2.76150383029457e-76,4.72880229867636,0.267,0.018,9.26153154604194e-72,"PDE2A","Upregulated"
2.85648542378385e-76,3.56185378067433,0.392,0.039,9.58008081428626e-72,"GIMAP1","Upregulated"
3.20098807058489e-76,8.64210255673466,0.058,0,1.07354737911276e-71,"VIP","Upregulated"
4.61490525278935e-76,3.35477242896847,0.592,0.096,1.54774692368049e-71,"ETS1","Upregulated"
1.61122465107646e-75,6.14408463951801,0.308,0.025,5.40372523478023e-71,"THSD7A","Upregulated"
4.79263162101973e-75,9.20555336105015,0.05,0,1.6073527930576e-70,"C3orf36","Upregulated"
4.79263162101973e-75,9.91526046083114,0.05,0,1.6073527930576e-70,"LCN6","Upregulated"
1.40212730295073e-74,3.90665743093975,0.642,0.125,4.70245454863616e-70,"TGFBR2","Upregulated"
1.75559646321908e-74,3.96758065057703,0.483,0.065,5.88791941834414e-70,"SEMA6B","Upregulated"
3.0175707926747e-74,5.12958148746175,0.408,0.047,1.01203289244724e-69,"ADGRL2","Upregulated"
6.11825269746998e-74,6.77999472996898,0.275,0.02,2.05193958967748e-69,"AQP1","Upregulated"
6.52262056538818e-74,3.11758501314702,0.367,0.035,2.18755648521989e-69,"NID1","Upregulated"
1.42331453684594e-73,4.33927390463463,0.225,0.013,4.77351229367392e-69,"CFI","Upregulated"
5.48598615230841e-73,3.59495944523246,0.35,0.033,1.83989003576119e-68,"FLI1","Upregulated"
6.96161699511725e-72,4.93651919423807,0.167,0.007,2.33478710782242e-67,"ITGA8","Upregulated"
9.09647995389899e-71,6.55734233839472,0.125,0.003,3.05077744693864e-66,"AL109741.1","Upregulated"
2.69824660602842e-70,4.47033834027579,0.575,0.104,9.04937946729812e-66,"FAM43A","Upregulated"
3.35361057322466e-70,4.99837111220562,0.417,0.052,1.12473391404809e-65,"TMEM255B","Upregulated"
5.29751325659339e-70,3.42775852567313,0.667,0.134,1.77667999599629e-65,"SLC2A3","Upregulated"
1.6633900255551e-68,3.61419897255624,0.283,0.022,5.57867746770671e-64,"MSRB3","Upregulated"
5.54566518827371e-68,4.74007564889203,0.517,0.085,1.85990519084324e-63,"PTPRM","Upregulated"
6.34544719560953e-68,8.20711777443279,0.108,0.003,2.12813608046353e-63,"GJA5","Upregulated"
8.76957702175905e-68,5.80900760467602,0.433,0.059,2.94114074155755e-63,"DLL4","Upregulated"
9.18778644900178e-68,6.80967116532629,0.108,0.003,3.08139981926622e-63,"HAPLN1","Upregulated"
