"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,9.28290743838144,0.418,0.002,0,"9","ADGB"
0,9.26256679227445,0.854,0.014,0,"9","C9orf24"
0,9.06074506307574,0.491,0.002,0,"9","CCDC39.1"
0,9.04986871182777,0.611,0.002,0,"9","C11orf88"
0,9.01166378486136,0.401,0.002,0,"9","CFAP52"
2.96439387504748e-323,8.96733088213873,0.26,0.002,9.94198417813424e-319,"9","MRLN"
0,8.95806704963439,0.637,0.006,0,"9","ZBBX"
0,8.92238733720987,0.646,0.004,0,"9","EFCAB1"
0,8.84622671438204,0.789,0.004,0,"9","TEKT1"
0,8.84275964933079,0.442,0.002,0,"9","SNTN"
0,8.83059071227503,0.491,0.004,0,"9","TRIM55"
0,8.81174279120763,0.409,0.003,0,"9","ARMC4"
0,8.76593737996383,0.284,0.001,0,"9","C11orf97"
0,11.0795521209807,0.782,0.005,0,"10","COL3A1"
0,9.76282328749024,0.524,0.003,0,"10","CD248"
0,9.73657635130679,0.547,0.004,0,"10","KCNE4"
0,9.65782434388005,0.267,0.001,0,"10","TBX15"
0,9.59196724367503,0.764,0.005,0,"10","DCN"
0,9.5589907598966,0.307,0.001,0,"10","FAM162B"
0,9.08954922565688,0.369,0.002,0,"10","ECM2"
0,9.02792373327254,0.489,0.003,0,"10","PTH1R"
0,8.89530510242089,0.809,0.005,0,"10","PDGFRB"
0,8.72100350435908,0.502,0.018,0,"10","TBX2"
0,8.68845868067054,0.587,0.007,0,"10","PLAC9"
0,8.67845554236993,0.484,0.002,0,"10","LUM"
0,8.64112236474681,0.538,0.004,0,"10","HIGD1B"
0,8.60111474768616,0.32,0.002,0,"10","COX4I2"
0,8.52297489773373,0.382,0.004,0,"10","KCNJ8"
0,8.33397846908111,0.32,0.004,0,"10","HEYL"
0,8.30535522604918,0.409,0.011,0,"10","PRELP"
0,8.27042757235093,0.427,0.01,0,"10","ENPEP"
0,8.2666062374579,0.622,0.021,0,"10","RGS5"
8.00386346262819e-322,8.25036949655807,0.316,0.004,2.68433572809624e-317,"10","SLC38A11"
0,8.1614918881168,0.902,0.049,0,"10","COL1A2"
0,8.12884448385465,0.311,0.003,0,"10","FOXS1"
0,8.11600569004537,0.436,0.003,0,"10","CSPG4"
0,8.11523969668371,0.347,0.003,0,"10","LMOD1"
1.18155011789383e-297,8.09066279378525,0.253,0.002,3.96268278539233e-293,"10","VGLL3"
0,11.870774025945,0.558,0.001,0,"11","CYYR1"
0,11.5618188978154,0.292,0.001,0,"11","MMRN1"
0,10.9790328009888,0.717,0.001,0,"11","ADGRL4"
0,10.9057095718732,0.667,0.002,0,"11","ROBO4"
0,10.7797648848171,0.858,0.007,0,"11","CLDN5"
0,10.5590661385999,0.8,0.02,0,"11","VWF"
