"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
3.84751891985384e-07,0.981538443038465,0.626,0.466,0.0129038089534058,"OTUD1","FDR<0.05",6.41481923588429,6.41481923588429
4.05631893158015e-07,-0.440904216798976,0.975,0.996,0.0136040824327335,"MT-ND1","FDR<0.05",6.39186790555342,6.39186790555342
4.32110406956892e-07,0.760276052263799,0.707,0.538,0.0144921188285202,"EEF1B2","FDR<0.05",6.36440527400461,6.36440527400461
4.68633330326576e-07,3.62649935378694,0.136,0.02,0.0157170246324927,"CXCL10","FDR<0.05",6.32916682657528,6.32916682657528
4.77443394978536e-07,0.457527137083173,0.853,0.751,0.0160124965807902,"RPL27A","FDR<0.05",6.32107811037487,6.32107811037487
4.79014898239777e-07,-1.94500577361483,0.176,0.317,0.0160652016571656,"F13A1","FDR<0.05",6.31965097902238,6.31965097902238
7.02997576745421e-07,0.340541270235363,0.922,0.904,0.0235771327288879,"RPL28","FDR<0.05",6.15304617200422,6.15304617200422
7.35804308036133e-07,0.566246376485103,0.88,0.799,0.0246774048829158,"UBB","FDR<0.05",6.13323767376115,6.13323767376115
7.70544740157773e-07,1.13412917268243,0.407,0.225,0.0258425294954114,"ATRAID","FDR<0.05",6.11320213976252,6.11320213976252
8.08528382912295e-07,0.851845805350864,0.748,0.651,0.0271164249061125,"RGS1","FDR<0.05",6.09230472983819,6.09230472983819
8.88747337359731e-07,2.00936442790191,0.248,0.1,0.0298068082003706,"CCL5","FDR<0.05",6.05122168738365,6.05122168738365
1.0138573572103e-06,1.30619700548512,0.422,0.253,0.0340027480461192,"GRASP","FDR<0.05",5.99402314296535,5.99402314296535
1.01768506925009e-06,1.07298258931142,0.362,0.185,0.0341311218525096,"NOL7","FDR<0.05",5.99238659709492,5.99238659709492
1.15588236616042e-06,0.547864703297826,0.833,0.755,0.0387659827962883,"RPL14","FDR<0.05",5.93708636170002,5.93708636170002
1.19085710236452e-06,0.60646523986123,0.742,0.59,0.0399389654991013,"RPSA","FDR<0.05",5.92414034882609,5.92414034882609
1.26001489551798e-06,0.594664888660544,0.839,0.723,0.042258379565882,"RPL37A","FDR<0.05",5.89962432075305,5.89962432075305
1.29609108722778e-06,-3.05883551642997,0.112,0.237,0.0434683028834452,"CCL18","FDR<0.05",5.88736447586488,5.88736447586488
1.34092742728868e-06,0.488148181890753,0.831,0.695,0.0449720240564078,"NACA","FDR<0.05",5.87259472608646,5.87259472608646
1.54758672752044e-06,0.709597198365016,0.564,0.386,0.0519029636675803,"EIF3K","Not significant",5.81034500354976,5.81034500354976
